gene,Species,labs,chrMark,chr,dN,dS,dNdS,RPKM,Tau,GC3
ENSG00000142661,Chimp,Chimp-A,A,1,7.05682,16.3583,0.4313907924,0.998,0.9933381568,0.709408
ENSG00000158055,Chimp,Chimp-A,A,1,3.10354,5.29847,0.5857426767,0.388,0.9404366925,0.711304
ENSG00000001461,Chimp,Chimp-A,A,1,1.67276,4.73815,0.3530407438,211,0.7493333333,0.694581
ENSG00000157978,Chimp,Chimp-A,A,3,1.09458,3.52679,0.3103615469,115,0.8766090385,0.819231
ENSG00000117643,Chimp,Chimp-A,A,1,1.06243,2.28901,0.4641438875,332,0.5203037801,0.777778
ENSG00000158006,Chimp,Chimp-A,A,1,1.00539,2.0176,0.4983098731,52.1,0.4941993464,0.628499
ENSG00000130695,Chimp,Chimp-A,A,1,1.01302,3.03067,0.3342561216,35.7,0.8342182891,0.561265
ENSG00000158062,Chimp,Chimp-A,A,1,5.08131,4.6305,1.0973566569,142,0.5385823817,0.741667
ENSG00000117682,Chimp,Chimp-A,A,1,1.00635,2.03957,0.4934128272,171,0.3989312977,0.679641
ENSG00000162510,Chimp,Chimp-A,A,1,5.18125,10.1955,0.5081898877,7.39,0.7786604916,0.782516
ENSG00000162511,Chimp,Chimp-A,A,1,1.02347,2.05204,0.4987573342,229,0.4438490535,0.865385
ENSG00000084652,Chimp,Chimp-A,A,1,3.13128,7.28444,0.4298587125,145,0.6964002175,0.681641
ENSG00000160050,Chimp,Chimp-A,A,1,11.1136,9.97715,1.1139052736,88.9,0.5020582121,0.711443
ENSG00000160058,Chimp,Chimp-A,A,1,2.27912,3.31302,0.6879282347,318,0.4152364273,0.652582
ENSG00000162522,Chimp,Chimp-A,A,1,5.13841,10.1422,0.5066366272,116,0.8108324786,0.663768
ENSG00000142920,Chimp,Chimp-A,A,1,2.8467,3.22703,0.8821424034,141,0.873338015,0.701117
ENSG00000121904,Chimp,Chimp-A,A,1,9.47954,16.4626,0.575822774,7.19,0.8575696864,0.688055
ENSG00000116560,Chimp,Chimp-A,A,1,2.06657,3.09338,0.6680621198,1010,0.1761754016,0.404059
ENSG00000092853,Chimp,Chimp-A,A,1,3.07425,4.41283,0.6966617794,1.36,0.9884440191,0.400755
ENSG00000116863,Chimp,Chimp-A,A,1,1.00085,2.03405,0.4920478848,206,0.3501714286,0.713499
ENSG00000181817,Chimp,Chimp-A,A,1,1.00011,2.00124,0.499745158,353,0.4918102614,0.725806
ENSG00000116885,Chimp,Chimp-A,A,1,1.30878,2.84481,0.460058844,46.8,0.9366503268,0.65704
ENSG00000119535,Chimp,Chimp-A,A,1,4.59629,5.06602,0.9072782974,31.1,0.751925859,0.772999
ENSG00000163873,Chimp,Chimp-A,A,1,3.00354,13.1202,0.228924864,11.3,0.8665761155,0.782313
ENSG00000163874,Chimp,Chimp-A,A,1,2.05441,4.35496,0.4717402686,25.7,0.8306103535,0.729272
ENSG00000196449,Chimp,Chimp-A,A,1,1.01119,2.03956,0.4957883073,149,0.3404936015,0.721429
ENSG00000183520,Chimp,Chimp-A,A,1,1.00255,2.01393,0.4978077689,88.5,0.621402214,0.448819
ENSG00000116954,Chimp,Chimp-A,A,1,8.19991,6.41445,1.2783496637,133,0.3817886179,0.45481
ENSG00000163909,Chimp,Chimp-A,A,1,1.03804,2.08602,0.4976174725,39.9,0.5493430657,0.696049
ENSG00000131238,Chimp,Chimp-A,A,1,1.3069,3.55995,0.3671118976,418,0.4747658821,0.596
ENSG00000117000,Chimp,Chimp-A,A,1,4.05723,9.82472,0.4129613872,66.5,0.4506849315,0.338381
ENSG00000117385,Chimp,Chimp-A,A,1,4.2672,3.64934,1.1693073268,80.5,0.6406666667,0.68437
ENSG00000066056,Chimp,Chimp-A,A,1,1.01273,5.09656,0.1987085407,88.1,0.605970696,0.733509
ENSG00000066135,Chimp,Chimp-A,A,1,3.25577,9.39675,0.3464783037,117,0.4323777778,0.543825
ENSG00000117411,Chimp,Chimp-A,A,1,1.01685,4.30811,0.2360315777,221,0.7050235849,0.769648
ENSG00000173846,Chimp,Chimp-A,A,1,1.64361,2.05985,0.7979270335,31.3,0.4086117647,0.679157
ENSG00000132773,Chimp,Chimp-A,A,1,2.01846,2.04596,0.986558877,60.8,0.6642650104,0.601961
ENSG00000159592,Chimp,Chimp-A,A,1,1.03228,2.15728,0.4785099755,220,0.3279589744,0.471579
ENSG00000085998,Chimp,Chimp-A,A,1,29.7198,31.622,0.9398456771,257,0.3385026738,0.683333
ENSG00000123473,Chimp,Chimp-A,A,1,6.91762,5.54251,1.248102394,6.58,0.8936831276,0.347319
ENSG00000117834,Chimp,Chimp-A,A,1,2.72307,2.6625,1.0227492958,5.81,0.8745936073,0.726562
ENSG00000085832,Chimp,Chimp-A,A,1,2.04395,6.1409,0.3328420916,337,0.6022003745,0.357062
ENSG00000078618,Chimp,Chimp-A,A,1,1.02218,5.08159,0.2011535759,265,0.7986982249,0.438683
ENSG00000085840,Chimp,Chimp-A,A,1,7.15538,4.47354,1.5994894424,4.39,0.8386839827,0.529002
ENSG00000134744,Chimp,Chimp-A,A,1,3.10478,4.18167,0.7424737007,145,0.2991071429,0.344272
ENSG00000174348,Chimp,Chimp-A,A,1,1.15512,3.21605,0.3591735203,15,0.5662278676,0.840131
ENSG00000157193,Chimp,Chimp-A,A,1,1.04479,7.04594,0.148282557,118,0.8233921806,0.701622
ENSG00000162390,Chimp,Chimp-A,A,1,3.03381,5.25764,0.5770288571,40.1,0.8046071133,0.800738
ENSG00000173406,Chimp,Chimp-A,A,1,1.01115,3.58415,0.2821170989,5.79,0.9417974344,0.485569
ENSG00000162437,Chimp,Chimp-A,A,1,3.03569,3.10875,0.9764985927,29.3,0.7743726496,0.357724
ENSG00000184588,Chimp,Chimp-A,A,1,28.7627,35.9306,0.8005070887,81.3,0.6184330099,0.529204
ENSG00000081985,Chimp,Chimp-A,A,1,2.13595,6.79801,0.3142022445,8.5,0.4218002813,0.490105
ENSG00000116729,Chimp,Chimp-A,A,1,9.51379,5.47956,1.7362324712,191,0.6036440422,0.638889
ENSG00000178965,Chimp,Chimp-A,A,1,6.12463,4.12651,1.4842154751,21.5,0.9012941176,0.379447
ENSG00000162623,Chimp,Chimp-A,A,1,2.0776,2.09658,0.9909471616,65.5,0.47187251,0.423077
ENSG00000162618,Chimp,Chimp-A,A,1,8.04031,5.16485,1.5567364009,12.6,0.8010897436,0.335745
ENSG00000117114,Chimp,Chimp-A,A,1,2.06913,5.90011,0.3506934616,139,0.6070489845,0.409978
ENSG00000137941,Chimp,Chimp-A,A,1,3.12141,12.2704,0.2543853501,126,0.6396413793,0.390766
ENSG00000142875,Chimp,Chimp-A,A,1,7.78606,5.49515,1.416896718,457,0.7291591518,0.37535
ENSG00000117151,Chimp,Chimp-A,A,1,3.04671,6.03577,0.5047756956,20.5,0.831028169,0.385827
ENSG00000097096,Chimp,Chimp-A,A,1,3.04923,3.05761,0.9972592973,10.7,0.4689347079,0.390288
ENSG00000122482,Chimp,Chimp-A,A,1,1.20287,5.33777,0.2253506614,48.4,0.4584851733,0.299094
ENSG00000174842,Chimp,Chimp-A,A,1,1.03275,5.05332,0.204370592,18.8,0.5386387545,0.327731
ENSG00000067208,Chimp,Chimp-A,A,1,2.00777,3.05174,0.6579099137,19.9,0.4089915549,0.365551
ENSG00000137936,Chimp,Chimp-A,A,1,4.03325,3.6281,1.1116700201,47.9,0.508317757,0.671913
ENSG00000122481,Chimp,Chimp-A,A,1,7.1021,5.31916,1.3351920228,40.8,0.3607992388,0.470149
ENSG00000117600,Chimp,Chimp-A,A,1,1.00749,3.09136,0.3259051033,28.8,0.9414104046,0.546527
ENSG00000162692,Chimp,Chimp-A,A,1,4.77845,2.98023,1.6033829604,23.3,0.9358506494,0.447005
ENSG00000121957,Chimp,Chimp-A,A,1,1.01407,3.06818,0.3305118996,46.9,0.8259162011,0.343567
ENSG00000162777,Chimp,Chimp-A,A,1,1.4496,2.67663,0.5415765347,9.66,0.8039477124,0.615711
ENSG00000064703,Chimp,Chimp-A,A,1,4.49577,2.68992,1.6713396681,45.9,0.9726244726,0.419847
ENSG00000143079,Chimp,Chimp-A,A,1,3.01227,2.06035,1.4620185891,61.8,0.4265309584,0.520312
ENSG00000198799,Chimp,Chimp-A,A,1,9.00704,8.04457,1.1196421934,120,0.4423142251,0.418919
ENSG00000081026,Chimp,Chimp-A,A,1,3.62362,3.64956,0.9928922939,53.1,0.2507537688,0.407407
ENSG00000081019,Chimp,Chimp-A,A,1,1.01368,4.04573,0.250555524,41.4,0.6791239316,0.464419
ENSG00000175984,Chimp,Chimp-A,A,1,2.0361,5.49703,0.370400016,4.87,0.62330998,0.401507
ENSG00000134247,Chimp,Chimp-A,A,1,3.61101,4.13585,0.8730998465,57,0.7734268199,0.689815
ENSG00000116830,Chimp,Chimp-A,A,1,6.15691,3.54875,1.7349517436,8.7,0.6627811245,0.481928
ENSG00000065183,Chimp,Chimp-A,A,1,2.08309,2.0547,1.0138171023,54.7,0.2152247668,0.429025
ENSG00000131778,Chimp,Chimp-A,A,1,4.08451,8.28487,0.4930083393,159,0.4835613062,0.476244
ENSG00000116128,Chimp,Chimp-A,A,1,1.00265,3.017,0.3323334438,116,0.5460843373,0.538893
ENSG00000143437,Chimp,Chimp-A,A,1,1.02734,2.38085,0.4315013546,113,0.3552427984,0.517115
ENSG00000159377,Chimp,Chimp-A,A,1,1.00633,3.10434,0.3241687444,1400,0.6161490683,0.611321
ENSG00000143367,Chimp,Chimp-A,A,1,5.04068,2.10788,2.3913505513,55.8,0.5927793167,0.664962
ENSG00000132692,Chimp,Chimp-A,A,1,1.05017,7.15198,0.1468362607,164,0.907977208,0.680045
ENSG00000162745,Chimp,Chimp-A,A,1,5.11227,9.62479,0.5311565239,35.8,0.8779355346,0.699198
ENSG00000143164,Chimp,Chimp-A,A,1,1.01659,2.9341,0.346474217,534,0.5467973856,0.339286
ENSG00000007908,Chimp,Chimp-A,A,1,3.05024,3.07519,0.9918866802,2.52,0.5431292201,0.522951
ENSG00000120370,Chimp,Chimp-A,A,1,4.65031,4.96047,0.9374736668,62.1,0.3085425384,0.40107
ENSG00000117523,Chimp,Chimp-A,A,1,5.07424,6.20858,0.8172947759,127,0.496803995,0.319675
ENSG00000034971,Chimp,Chimp-A,A,1,5.03107,3.20826,1.568161558,2,0.9898052658,0.656064
ENSG00000117601,Chimp,Chimp-A,A,1,2.0511,2.11392,0.9702826975,1.45,0.9996064431,0.630108
ENSG00000116147,Chimp,Chimp-A,A,1,1.00503,9.68123,0.1038122222,24.7,0.8143936731,0.662252
ENSG00000116183,Chimp,Chimp-A,A,1,7.13371,3.15048,2.2643248013,3.78,0.8103409882,0.602005
ENSG00000075391,Chimp,Chimp-A,A,1,1.00416,9.07841,0.1106096772,42.5,0.446263182,0.532283
ENSG00000143322,Chimp,Chimp-A,A,1,2.13398,2.43462,0.8765146101,26.1,0.6223798266,0.505792
ENSG00000162782,Chimp,Chimp-A,A,1,4.07047,4.42356,0.9201796743,4.62,0.9789731563,0.406728
ENSG00000135837,Chimp,Chimp-A,A,1,12.1622,10.3166,1.178896148,39,0.9237254902,0.336116
ENSG00000135835,Chimp,Chimp-A,A,1,12.7371,13.9657,0.9120273241,43.9,0.7559291763,0.671706
ENSG00000198216,Chimp,Chimp-A,A,1,6.01896,12.1625,0.49487852,53.8,0.7636842721,0.691742
ENSG00000058085,Chimp,Chimp-A,A,1,9.41063,4.47775,2.101642566,16.7,0.7254853968,0.543165
ENSG00000135842,Chimp,Chimp-A,A,1,4.73187,3.18935,1.4836471381,14,0.9822934214,0.564074
ENSG00000121486,Chimp,Chimp-A,A,1,1.64337,2.49694,0.65815358,54.8,0.7924933333,0.345269
ENSG00000143341,Chimp,Chimp-A,A,1,21.8621,19.587,1.1161535712,4.56,0.865194876,0.383783
ENSG00000073756,Chimp,Chimp-A,A,1,5.50927,6.21345,0.886668437,14,0.6357453416,0.456198
ENSG00000066279,Chimp,Chimp-A,A,1,22.5718,14.4965,1.5570517021,0.0688,0.9510431373,0.310107
ENSG00000177888,Chimp,Chimp-A,A,1,2.4529,6.86922,0.3570856662,18.8,0.3000721501,0.276923
ENSG00000134376,Chimp,Chimp-A,A,1,6.31235,7.62194,0.8281815391,22.7,0.6601795143,0.454869
ENSG00000118200,Chimp,Chimp-A,A,1,6.02744,4.17288,1.4444316635,131,0.5234152047,0.32716
ENSG00000116852,Chimp,Chimp-A,A,1,2.79762,7.78509,0.3593561539,71.6,0.8730313029,0.800301
ENSG00000081248,Chimp,Chimp-A,A,1,5.07944,16.0809,0.315867893,0.324,0.6602660017,0.765668
ENSG00000134375,Chimp,Chimp-A,A,1,4.05507,2.13602,1.8984232357,518,0.5275159236,0.401163
ENSG00000176393,Chimp,Chimp-A,A,1,4.02471,3.54242,1.1361470407,152,0.3827238525,0.703533
ENSG00000163435,Chimp,Chimp-A,A,1,1.02062,3.13724,0.3253241703,4.13,0.8731866085,0.741935
ENSG00000117139,Chimp,Chimp-A,A,1,2.00653,11.4227,0.1756616212,51.4,0.961825641,0.45633
ENSG00000163531,Chimp,Chimp-A,A,1,1.01157,5.10683,0.1980817846,115,0.7350352609,0.71131
ENSG00000184144,Chimp,Chimp-A,A,1,2.0805,6.07193,0.34264229,204,0.8529706767,0.740181
ENSG00000163545,Chimp,Chimp-A,A,1,8.18222,5.79436,1.4121007324,11.5,0.8229979998,0.756667
ENSG00000158715,Chimp,Chimp-A,A,1,2.01308,5.09494,0.3951135833,15.9,0.6649636099,0.759928
ENSG00000133065,Chimp,Chimp-A,A,1,3.06601,3.05558,1.0034134272,126,0.8803372509,0.714286
ENSG00000162877,Chimp,Chimp-A,A,1,1.07256,5.0824,0.2110341571,2.6,0.8284218043,0.630219
ENSG00000182795,Chimp,Chimp-A,A,1,4.16837,3.22349,1.2931232918,0.423,0.8699722635,0.60134
ENSG00000180667,Chimp,Chimp-A,A,1,3.02995,2.20887,1.3717194765,27.7,0.839248366,0.484241
ENSG00000008118,Chimp,Chimp-A,A,1,1.01175,2.57192,0.3933831534,17.5,0.9834636083,0.687631
ENSG00000009790,Chimp,Chimp-A,A,1,7.13853,3.72443,1.9166771828,13.1,0.6073179396,0.631579
ENSG00000117597,Chimp,Chimp-A,A,1,4.03935,4.13881,0.9759689379,42.2,0.5921568627,0.528477
ENSG00000170385,Chimp,Chimp-A,A,1,3.21709,2.96778,1.084005553,58.9,0.5561441441,0.529293
ENSG00000123685,Chimp,Chimp-A,A,1,1.12379,2.42731,0.4629775348,16.9,0.7314930081,0.704082
ENSG00000143499,Chimp,Chimp-A,A,1,7.89324,8.65214,0.9122875959,361,0.8600552017,0.58753
ENSG00000117724,Chimp,Chimp-A,A,1,17.1871,13.2049,1.3015698718,5.25,0.9684425743,0.405979
ENSG00000067704,Chimp,Chimp-A,A,1,2.03991,7.69902,0.2649570984,162,0.3583389831,0.397423
ENSG00000143498,Chimp,Chimp-A,A,1,2.02799,4.05707,0.4998656666,13.8,0.681006006,0.385809
ENSG00000143502,Chimp,Chimp-A,A,1,1.02582,4.98798,0.2056584028,148,0.8369696602,0.610998
ENSG00000143514,Chimp,Chimp-A,A,1,6.04551,9.39225,0.6436700471,114,0.500451423,0.437833
ENSG00000143815,Chimp,Chimp-A,A,1,6.04895,2.20633,2.7416342977,39.6,0.6050496205,0.435772
ENSG00000143819,Chimp,Chimp-A,A,1,3.02282,3.08824,0.9788164132,440,0.9689395321,0.756044
ENSG00000143751,Chimp,Chimp-A,A,1,2.08659,3.07706,0.678111574,73.7,0.5790924956,0.486667
ENSG00000143799,Chimp,Chimp-A,A,1,9.03473,8.29505,1.0891712527,399,0.2280448139,0.647581
ENSG00000143801,Chimp,Chimp-A,A,1,1.00787,4.15576,0.2425236299,156,0.3955075939,0.790646
ENSG00000069248,Chimp,Chimp-A,A,1,4.0217,4.75592,0.8456197749,87.4,0.5328360958,0.414002
ENSG00000135763,Chimp,Chimp-A,A,1,7.10063,11.3347,0.6264506339,26.1,0.5236086702,0.599475
ENSG00000177614,Chimp,Chimp-A,A,1,2.05542,5.16819,0.3977059667,389,0.771035503,0.807471
ENSG00000135775,Chimp,Chimp-A,A,1,1.51621,5.72688,0.2647532339,68.2,0.3377078814,0.474255
ENSG00000135744,Chimp,Chimp-A,A,1,26.811,21.1068,1.2702541361,698,0.9218190175,0.733888
ENSG00000173409,Chimp,Chimp-A,A,1,1.24325,2.36287,0.5261609822,116,0.7811773363,0.506726
ENSG00000116903,Chimp,Chimp-A,A,1,1.00694,5.13169,0.1962199587,47.1,0.3392156863,0.619835
ENSG00000116962,Chimp,Chimp-A,A,1,5.14587,17.5971,0.2924271613,27.6,0.8457590492,0.657556
ENSG00000198626,Chimp,Chimp-A,A,1,29.9664,53.6259,0.5588046075,76.4,0.9885881529,0.4949
ENSG00000133019,Chimp,Chimp-A,A,1,1.16316,4.29281,0.2709553882,11.8,0.8166165905,0.681895
ENSG00000091483,Chimp,Chimp-A,A,1,2.00371,4.07434,0.491787627,375,0.5956973995,0.396078
ENSG00000117009,Chimp,Chimp-A,A,1,4.63204,5.10022,0.9082039598,3.41,0.8647766719,0.434511
ENSG00000174371,Chimp,Chimp-A,A,1,2.0537,3.81516,0.5382998354,1.2,0.9424891068,0.370504
ENSG00000054282,Chimp,Chimp-A,A,1,4.26402,3.35817,1.269745129,67.9,0.330503876,0.472429
ENSG00000153187,Chimp,Chimp-A,A,1,3.29971,4.28669,0.7697570853,1080,0.2247240618,0.360601
ENSG00000153207,Chimp,Chimp-A,A,2B,22.045,24.4473,0.90173557,40.7,0.9406517557,0.318121
ENSG00000107929,Chimp,Chimp-A,A,10,3.0751,4.19869,0.7323951042,117,0.2235329341,0.47561
ENSG00000185736,Chimp,Chimp-A,A,10,3.74925,16.9006,0.2218412364,31.5,0.7897311431,0.852292
ENSG00000108021,Chimp,Chimp-A,A,10,21.7801,14.0947,1.545268789,66.3,0.6816761905,0.36979
ENSG00000170525,Chimp,Chimp-A,A,10,2.22401,4.20661,0.5286941266,224,0.4693572779,0.796117
ENSG00000065675,Chimp,Chimp-A,A,10,1.00484,2.24037,0.4485152006,17,0.7040181406,0.609618
ENSG00000198879,Chimp,Chimp-A,A,10,4.61698,9.25214,0.4990175246,21.2,0.5103576796,0.608911
ENSG00000123243,Chimp,Chimp-A,A,10,13.4541,25.9504,0.5184544362,52.8,0.5016686992,0.662669
ENSG00000165632,Chimp,Chimp-A,A,10,2.02572,3.70912,0.5461457165,76.9,0.420591716,0.52897
ENSG00000148429,Chimp,Chimp-A,A,10,4.07465,6.2356,0.6534495478,59.7,0.8511983711,0.467233
ENSG00000148426,Chimp,Chimp-A,A,10,12.4182,6.22694,1.9942700588,7.32,0.9547568052,0.792453
ENSG00000181192,Chimp,Chimp-A,A,10,3.04985,8.20929,0.3715120309,32.3,0.8160610351,0.588171
ENSG00000151465,Chimp,Chimp-A,A,10,1.00286,2.06565,0.4854936703,529,0.2904109589,0.46131
ENSG00000151474,Chimp,Chimp-A,A,10,1.04131,7.46912,0.1394153528,87,0.5425349028,0.710526
ENSG00000065809,Chimp,Chimp-A,A,10,1.03584,2.05747,0.5034532703,129,0.6601850424,0.498371
ENSG00000152457,Chimp,Chimp-A,A,10,4.67695,7.547,0.6197098185,19.3,0.4142595978,0.421356
ENSG00000152465,Chimp,Chimp-A,A,10,1.21859,4.67157,0.2608523473,104,0.7205179856,0.513185
ENSG00000148468,Chimp,Chimp-A,A,10,2.02971,5.50828,0.3684834467,229,0.5679452055,0.651109
ENSG00000077943,Chimp,Chimp-A,A,10,4.01741,6.92564,0.5800777979,27.3,0.6798832021,0.484023
ENSG00000165983,Chimp,Chimp-A,A,10,3.01121,3.11306,0.9672829949,144,0.796071789,0.434286
ENSG00000107611,Chimp,Chimp-A,A,10,18.4988,27.4797,0.673180566,1.8,0.9747624848,0.464936
ENSG00000148482,Chimp,Chimp-A,A,10,2.04362,3.08101,0.6632954778,6.81,0.9639378238,0.478324
ENSG00000241058,Chimp,Chimp-A,A,10,4.00815,3.03658,1.3199553445,18.8,0.5945689655,0.330472
ENSG00000078114,Chimp,Chimp-A,A,10,4.34017,2.77655,1.5631521132,215,0.9363557047,0.423228
ENSG00000180592,Chimp,Chimp-A,A,10,1.00656,2.01429,0.4997095751,26.5,0.3770529479,0.574359
ENSG00000136770,Chimp,Chimp-A,A,10,2.03002,2.06549,0.9828273194,86.3,0.7914326001,0.462963
ENSG00000165309,Chimp,Chimp-A,A,10,5.98247,5.95554,1.0045218402,1.23,0.9986700599,0.39375
ENSG00000120549,Chimp,Chimp-A,A,10,6.3564,15.8172,0.4018663227,84.6,0.4772027211,0.54739
ENSG00000185875,Chimp,Chimp-A,A,10,2.01832,7.13278,0.2829640056,30.1,0.8502962963,0.317204
ENSG00000136750,Chimp,Chimp-A,A,10,1.00304,5.11389,0.1961403159,83.4,0.8494319527,0.520478
ENSG00000165757,Chimp,Chimp-A,A,10,11.4559,4.9218,2.3275834044,57.4,0.6341130268,0.587218
ENSG00000183621,Chimp,Chimp-A,A,10,7.30462,3.83247,1.9059823038,67,0.5877777778,0.469166
ENSG00000099250,Chimp,Chimp-A,A,10,2.01373,7.78242,0.2587537039,64.1,0.7110060606,0.549784
ENSG00000148498,Chimp,Chimp-A,A,10,4.03823,9.98564,0.4044037237,39.3,0.505553164,0.46687
ENSG00000095794,Chimp,Chimp-A,A,10,1.02513,2.04774,0.5006153125,166,0.9192923077,0.347826
ENSG00000165731,Chimp,Chimp-A,A,10,9.38511,10.4163,0.9010022753,24.7,0.6181572482,0.756809
